"iteration";"fit.mle.sGARCH.norm";"fit.mle.sGARCH.skewnorm";"fit.mle.sGARCH.t";"fit.mle.eGARCH.norm";"fit.mle.eGARCH.skewnorm";"fit.mle.eGARCH.t";"fit.mle.gjrGARCH.norm";"fit.mle.gjrGARCH.skewnorm";"fit.mle.gjrGARCH.t";"fit.bayes.sGARCH.norm";"fit.bayes.sGARCH.skewnorm";"fit.bayes.sGARCH.t";"fit.bayes.eGARCH.norm";"fit.bayes.eGARCH.skewnorm";"fit.bayes.eGARCH.t";"fit.bayes.gjrGARCH.norm";"fit.bayes.gjrGARCH.skewnorm";"fit.bayes.gjrGARCH.t"
1;-5.50830891917339;-5.74892038489962;-5.74206577314525;-7.34366796235314;-7.54680201043618;-9.41563840908703;-6.36446715028783;-6.92052941208581;-6.85936396192292;-5.50177627513062;-5.8195089467371;-5.85690854256506;-7.3839048156394;-7.78872344145392;-7.71996874773846;-6.54317325830379;-6.6676465940434;-6.90346821302764
2;-6.67297591239376;-7.0439406500162;-6.70690524264093;-6.71189853462533;-7.24991299444516;-6.67811185838928;-6.43685715151592;-6.74369284424899;-6.61760813747756;-6.12785292421293;-6.96338656329332;-6.92517254674835;-6.63668527098388;-6.89305970987028;-6.66461440385212;-6.02875392672209;-6.31383556390305;-6.97961777141519
3;-7.36125566851822;-7.6464168916226;-7.30363806027242;-7.28228474495096;-8.18869532371547;-7.90512922940816;-7.86784714338415;-8.12140133646723;-8.03344571294285;-7.14240538211263;-7.82361450025961;-7.37154268016754;-8.05670974780767;-8.37281087869679;-8.41975788519927;-8.05613756120091;-8.33266321950174;-8.65218127466127
4;-6.93956841047448;-7.12092183524552;-6.95503123781742;-7.11937660996398;-8.65045831803511;-7.79696647483685;-7.3237089464593;-7.85191470974781;-7.65569309939699;-6.70470331333383;-7.27237800006172;-7.24578553863806;-8.01104655429409;-8.21568937217654;-8.14734042357532;-7.20122597704284;-7.58174087901321;-8.12443889571665
5;-6.65795571279531;-6.6901695334622;-6.63585522207139;-6.83645212570545;-8.20206958015905;-7.86607158513542;-6.92935988569427;-7.42743623847003;-7.18440126329323;-6.52294383863399;-6.52706440212026;-6.91161607431959;-6.80037806064584;-7.04084545675214;-7.67666681831786;-6.84423730520055;-7.27333690243498;-7.23847993066604
6;-7.51984679105488;-7.70834874407006;-7.33029629933366;-6.4390328447126;-6.88144940498387;-6.79901683344174;-6.76453692184283;-7.07510896541724;-6.99843968265409;-7.19496094913857;-7.5885853574908;-7.67376028284125;-7.27528589742229;-6.52699922958267;-7.22381240733364;-6.99301375877095;-6.9218638844034;-7.31268597295403
7;-6.9294200658711;-7.29665267240786;-6.99060296420087;-6.07463724431025;-6.28628826080241;-6.38618475089142;-6.44198124382796;-6.71583912670626;-6.68394481313254;-6.77988588281068;-7.02456486169602;-7.0740992703237;-5.66387081677343;-6.55936144194938;-6.73158965987429;-6.62556356256926;-6.57651127602036;-7.18203284091139
8;-6.63658328150508;-6.82929727681388;-6.69829990423886;-5.44873112724539;-6.11913585082267;-6.02819149319997;-6.1317826310435;-6.454428503536;-6.22358777576245;-6.24072714456447;-6.47608013769623;-6.71199852931823;-6.23342558376091;-5.7599850253809;-6.26341637504163;-6.13829471799549;-6.11540977933194;-6.55361454792722
9;-6.14878866162579;-6.51272036305798;-6.37514528859241;-5.27809629796154;-5.64493339250842;-5.54205349853375;-5.74050015973687;-6.18086126293391;-6.07242764709138;-5.87236219272173;-6.11450911071896;-6.37316938640121;-5.31014295265327;-5.85086371498191;-5.86953228654748;-5.96171844788068;-6.3404907159419;-6.51574279868684
10;-6.09241676242302;-6.39732028909782;-6.27844733769326;-5.09706011797509;-5.56456096634536;-5.39047048418951;-5.57475537642762;-5.94777955149013;-5.89684088556277;-5.93343194018649;-6.08868391720665;-6.48935510450516;-4.9152870972198;-5.07623031881697;-5.56134557880293;-5.54257577301643;-5.48353730461238;-5.75167253150147
