"iteration";"fit.mle.sGARCH.norm";"fit.mle.sGARCH.skewnorm";"fit.mle.sGARCH.t";"fit.mle.eGARCH.norm";"fit.mle.eGARCH.skewnorm";"fit.mle.eGARCH.t";"fit.mle.gjrGARCH.norm";"fit.mle.gjrGARCH.skewnorm";"fit.mle.gjrGARCH.t";"fit.bayes.sGARCH.norm";"fit.bayes.sGARCH.skewnorm";"fit.bayes.sGARCH.t";"fit.bayes.eGARCH.norm";"fit.bayes.eGARCH.skewnorm";"fit.bayes.eGARCH.t";"fit.bayes.gjrGARCH.norm";"fit.bayes.gjrGARCH.skewnorm";"fit.bayes.gjrGARCH.t"
1;-9.71195995048067;-10.1827192444894;-10.2675963848909;-12.8854981305407;-13.1678832645657;-17.9045749070951;-11.6987322314711;-12.1560369852762;-12.370157200566;-9.0466491950606;-9.36199424932954;-10.1549394189168;-12.055949740594;-14.3718034460616;-16.9553050742299;-8.63659534480217;-14.9369164099308;-12.3179784596854
2;-11.8256266828571;-11.8148128315691;-11.730306969235;-12.2125902887599;-12.837435809719;-12.1720695984164;-11.6579634216637;-12.0325881524531;-11.8976275147748;-9.89146183809079;-13.0519251017813;-10.484042443048;-12.513079684281;-11.9992796621756;-14.4189786829105;-12.1171289330377;-10.1209554901162;-11.4300581523813
3;-13.1185900475797;-13.61984936118;-12.6085787454248;-14.67239502943;-15.1273178678118;-13.542247336673;-14.9581867002735;-15.2644981932492;-14.7700361341914;-13.4756511521349;-16.2793697145321;-10.981052352826;-11.6370441258779;-16.2063771006571;-17.3439506698135;-13.5390898116738;-14.7232092541639;-14.2894732795207
4;-12.689865397369;-12.0250135814716;-11.9837214492545;-13.2877560160674;-16.293307759524;-14.5267539005982;-13.76109768977;-14.5148268517194;-13.6391329922896;-11.1096689931658;-11.2480527668647;-9.06030830857771;-12.9102101119678;-15.9205577501181;-15.4101679249126;-12.5313451626737;-14.4871303081488;-12.2364306175187
5;-11.6936570758903;-12.1554801789299;-11.6545286182292;-12.5932808907115;-14.1654100882153;-13.3387004583937;-13.1141798719054;-13.9850391673778;-12.1365033640722;-10.4813928423642;-11.1803004213868;-11.2508768192469;-11.0313263244145;-13.6735426540608;-12.0814754244416;-9.09502782234716;-14.5787521599426;-8.34330170022175
6;-13.4031803498516;-13.3683773480714;-12.7850568856374;-11.5907757965268;-12.6601434084356;-12.800127185254;-12.9697556038641;-12.7919975621986;-13.2493751025188;-10.8523237727628;-9.49618511871022;-14.8794654005472;-16.7632945279118;-9.8257670470505;-11.3756541856552;-11.8740987814555;-13.9214946796117;-11.5710183215135
7;-12.531126271273;-12.4148211123993;-11.9708455098995;-10.9109566495441;-11.7063279699567;-11.7607769835672;-12.1117908460528;-12.9303158670812;-13.6946017005215;-11.8702698365624;-12.9700998879035;-12.5328029578345;-10.4483443934721;-11.5426905260421;-12.095268176071;-12.1868604899037;-10.6953022004926;-11.9698091084194
8;-11.7977721085931;-12.5058748874347;-11.6678364830214;-10.3575718397842;-11.0105120792044;-10.9814912264043;-11.1357741353505;-11.4723690123167;-10.6106878718462;-10.1973382180162;-9.83448294815807;-12.326710929272;-13.4532413071097;-9.78429385397096;-11.05650258247;-10.4413038224557;-10.0710625380696;-10.9381366196492
9;-10.8802788809573;-11.0977185240844;-11.467589506426;-9.43988805193469;-10.4591552281064;-10.0806260545973;-10.6574515091965;-11.4008992658827;-11.5559606322975;-11.3141862875256;-9.79833051901865;-11.183715241747;-7.81964981882661;-9.59231157368014;-9.89697466266184;-10.4019331516206;-12.1405539556285;-12.3698789018603
10;-10.7660695390865;-11.0879832958371;-11.4162404807239;-9.4543243405226;-9.86553659737839;-9.91946787164085;-10.1038693880506;-10.6752622916806;-10.8988273634729;-10.6861348072441;-9.33149895258064;-11.0900285736112;-7.10997133768998;-9.37395729841814;-16.12649425737;-11.2926446317006;-8.39207894052874;-14.87933546999
11;-10.4694477439271;-10.7723784458004;-9.71284455420378;-10.2855867021587;-9.5573812368262;-8.95812694982659;-9.60485712468389;-10.5773881158248;-11.0984871750326;-8.77676708311767;-9.90289221146616;-9.18778091347051;-10.116806203021;-9.7140079818355;-11.1571630183457;-8.05139813168581;-8.84232363853029;-8.57018773343463
12;-10.297870730553;-10.0243927361101;-9.99109035289359;-9.49872857600955;-10.0047629891381;-11.072116144974;-9.69584070412506;-9.9023831059414;-10.2546949727521;-9.02531769087718;-11.9900673549578;-8.96412348729545;-8.89455359461902;-9.3720080870227;-9.02440391133412;-7.58685672614988;-5.80595419940235;-7.95769551613499
13;-10.0094844013969;-10.5912085231805;-9.85006343894888;-8.62013887352891;-8.43232652407427;-8.96026671071281;-9.28631527919394;-10.0657088737727;-9.11718098420012;-9.10037870134336;-9.05356887382303;-10.6892230099471;-8.41288610526769;-10.0930850998624;-7.41968163935744;-8.98805068705633;-10.0806423538726;-8.42225647098731
14;-9.64424643558283;-9.4885240951735;-8.97942156695794;-8.43101272181999;-7.96161773016818;-8.2166121342479;-8.82044956225592;-9.8784010441081;-9.00869874987865;-6.02564444107567;-7.33524958004857;-11.8573074042511;-6.72523645647228;-6.71883509746766;-9.60848818970341;-8.03157376621711;-8.16887607583232;-8.24544324941786
15;-9.63575505926344;-9.67235082097338;-9.47305655800988;-8.09471811868648;-7.21758860175453;-7.1273972022881;-8.64797346850861;-9.44029088815088;-8.78657257609112;-7.95741272198496;-11.0087032328713;-9.22600513176492;-6.84528145506331;-6.55338972181361;-6.15628161488921;-9.56317947471795;-8.78661788900032;-9.49134966133132
16;-9.3360362065183;-9.3413864890281;-9.04565035948251;-7.51292896887914;-7.07996877319261;-7.34989621740964;-9.27630909256979;-9.54769101825431;-8.70544477547929;-8.17411775310746;-7.13777383151915;-8.63176619998529;-6.85862646255844;-6.26383915199303;-7.20796196975438;-8.76134784057919;-8.1021623981725;-7.49602725495884
17;-8.60106712707984;-8.29302452027428;-8.91379699122558;-7.1361433698091;-8.43371531188611;-7.21780486997095;-7.67195689777872;-8.75343699576861;-9.01798540754199;-7.93519309630172;-8.01483512981598;-6.65678862498925;-6.68384015430451;-8.081932846836;-5.51743276146799;-8.10836834668077;-10.3103886220626;-7.00716414882262
18;-7.81238043924836;-8.94724506261389;-8.24569191700803;-7.37450764439108;-6.67665587967933;-8.17137225791389;-6.8718735114669;-8.7790576105239;-8.76403046069098;-6.85397244364061;-6.09002377910371;-8.87601613693674;-5.5891430042618;-6.50418528392314;-7.00151729963966;-6.5835974951685;-7.84375909197143;-7.84643185197911
19;-7.87001977626969;-8.37152687394473;-7.89715588539573;-7.44798508520156;-8.28001593358791;-9.00600669365795;-8.3502051236734;-8.38979033559154;-8.5514633150509;-7.24920962714415;-9.10292340511457;-6.75997127466984;-6.54738249475788;-8.26920384647346;-5.98438132481584;-6.5067277804947;-6.07620840155948;-8.75836260571386
20;-9.4957452003697;-10.1599253334512;-10.1917765143142;-10.6203626431281;-11.5743827649877;-9.73046524338772;-10.8181652354162;-12.6709063637918;-12.4594986773176;-10.7472828470718;-9.22314737601939;-13.9771351142942;-9.87285513500073;-9.67517125901817;-9.56609835844969;-10.6638099283067;-12.6877378383864;-13.7828426507125
21;-10.296202832582;-10.299841651628;-10.4207733728533;-10.4180802327416;-9.63640338836182;-9.79330776372911;-11.4174695490918;-11.6642786827533;-11.7169325214995;-10.5975959485831;-11.8498319195713;-9.20612053536797;-9.83374359331251;-12.2811112280652;-10.2243576038409;-11.11598869169;-8.47792023361988;-10.8585060959837
22;-9.66478127615338;-10.890009783378;-9.51475596308032;-9.21512739456193;-9.63912249477468;-8.66695112878483;-10.7988535525329;-11.2977059408567;-11.0551002313091;-7.36556634651345;-7.80977264491539;-7.99946886362548;-6.75101559955448;-9.13103179455326;-8.88698290000786;-9.11066208229297;-10.1907523127859;-9.96747296260384
23;-11.5919482277413;-10.9294528423657;-11.4247137303994;-8.84831830569429;-9.8938708435862;-9.17782840965465;-11.3236728879329;-10.8668207359523;-10.9497723843177;-9.88615949250364;-10.5607064567391;-11.6366044044648;-8.14020730493728;-12.810687408093;-9.07146573807805;-10.6712138298582;-10.5757139518685;-15.9332011443614
24;-10.8386980105708;-11.341958141078;-12.0863941983288;-8.4882339537635;-8.68742102890581;-9.69709873574961;-10.2869196747586;-10.0021626990905;-10.4253161736644;-10.5708121007453;-8.59140061353929;-11.0632348770809;-8.28822761034696;-7.163898997736;-10.2129842491315;-9.56676157574223;-12.0602741389851;-10.3251723554071
25;-10.7079099397342;-11.4229132763683;-10.6669502855704;-8.50584350917918;-8.43483505240972;-8.74092578727687;-10.2793317142347;-10.3407401625777;-9.98628181770552;-8.12612426455421;-12.028240851211;-10.5283379867872;-7.98430784974268;-8.94097140785567;-6.63998415291379;-10.5456033279795;-9.11221713936415;-9.64591805731754
