"iteration";"fit.mle.sGARCH.norm";"fit.mle.sGARCH.skewnorm";"fit.mle.sGARCH.t";"fit.mle.eGARCH.norm";"fit.mle.eGARCH.skewnorm";"fit.mle.eGARCH.t";"fit.mle.gjrGARCH.norm";"fit.mle.gjrGARCH.skewnorm";"fit.mle.gjrGARCH.t";"fit.bayes.sGARCH.norm";"fit.bayes.sGARCH.skewnorm";"fit.bayes.sGARCH.t";"fit.bayes.eGARCH.norm";"fit.bayes.eGARCH.skewnorm";"fit.bayes.eGARCH.t";"fit.bayes.gjrGARCH.norm";"fit.bayes.gjrGARCH.skewnorm";"fit.bayes.gjrGARCH.t"
1;-17.1465873908116;-18.7959456952822;-17.4279197033723;-17.9282156687072;-18.7384923878345;-19.8503983130794;-20.2478987167459;-21.645002438883;-21.8813428857701;-15.5809099916083;-21.509443552909;-16.0942591234257;-17.7259062554911;-18.5871018528991;-20.1999744765827;-21.3807836699376;-19.6452158607454;-24.0483941286071
2;-15.7865127826928;-17.5266212781963;-16.4971661124138;-18.8090532197586;-17.7164220608286;-19.6042378152306;-18.3017517386442;-19.2805554204065;-21.2804873499883;-14.5352166345118;-20.0352735319026;-16.2479506080078;-18.725251272388;-17.5500651500581;-19.1194082262114;-18.2661882881266;-20.1781966554399;-16.6639434136652
3;-18.2801148870642;-19.6129145802941;-18.3981903786023;-16.1483844789214;-21.7875569819893;-16.8267494450993;-19.7871599270574;-18.7038093960109;-20.3233389564079;-20.0266640736095;-16.9828158072027;-19.8276386120185;-16.6471650071021;-18.0275338026522;-15.8425636777909;-22.999602903677;-17.8527211308533;-18.4641447528594
4;-16.6031368795228;-16.3452206640272;-16.6690168710428;-16.7593369384255;-20.5244836609061;-16.5776669287423;-16.4901776100436;-18.4491270497618;-19.080004829675;-15.2696545029641;-17.9301880716859;-15.9484608317411;-15.5406762417379;-17.6578632558553;-14.5013366858675;-14.9300803415795;-18.7100540626593;-14.9686029981539
5;-17.6908468152315;-16.5756247405315;-15.2078977703499;-14.2763205138035;-16.6746231785224;-12.1459440671481;-16.7941009493711;-17.4806380996068;-19.6223213741606;-16.3027582044797;-13.7385161017097;-18.7010480798027;-15.0584583838638;-14.6083100351445;-12.8123582244308;-16.9042028314013;-14.0289176293586;-15.9994118206048
6;-15.3638968677305;-14.7880997007604;-16.477035254577;-15.4159089026948;-16.2900443083512;-13.8724339799933;-15.2045983555733;-16.5382444247751;-17.5088142261814;-14.4140075031965;-13.172840736921;-15.5534045459455;-14.9182376927887;-15.6179870062109;-12.2719671384339;-14.6066525956945;-13.4866126042856;-15.9003040237866
7;-15.317498440766;-16.4680321054126;-16.1698014655674;-12.4258352065986;-16.005886129052;-15.244028962587;-14.6672237352165;-15.8881903279771;-15.9436242321161;-13.8964995381877;-14.9462417195843;-13.3805517811365;-10.4338864449776;-18.4506392797433;-14.2104834070139;-12.5175723106345;-15.9439133392948;-17.3681411029904
8;-16.8272982147595;-15.8246996091194;-17.8949489878024;-17.0968927793428;-15.3883063798737;-15.0834332780944;-18.5974390416121;-18.4796468563459;-20.6209603299825;-17.013724112607;-15.3096431295674;-15.3667461773786;-17.7332330084423;-17.8352413098844;-17.695648024004;-13.9509166453478;-15.1693390497049;-13.7376116587964
9;-15.8156629822068;-15.0422817566605;-17.1582595017509;-14.4619629191719;-16.7874563978565;-15.1493823530539;-16.2108590613308;-17.4437523737607;-19.0847476723057;-12.3727729184794;-15.673258915716;-16.9827759043485;-19.6093594723964;-15.8879234918834;-17.8058839680402;-14.2646718696067;-17.1848337466285;-14.8616718142289
10;-15.5683177941737;-14.5462819660341;-14.1642896762793;-13.4272879574324;-15.0738288585866;-15.5001791450526;-17.6295612080369;-17.1685579910375;-17.159825169366;-12.855992305097;-10.9812015109462;-17.704443074195;-17.4737978614183;-18.4296716281443;-15.7498385270254;-11.8296585739973;-16.1148251996937;-16.6827004991333
